,word
0,С
1,Днём
2,Рождения!
3,Всего
4,самого
5,наилучшего!
6,С
7,Днём
8,Рождения!
9,Всего
10,самого
11,наилучшего!
12,С
13,Днём
14,Рождения!
15,Всего
16,самого
17,наилучшего!
18,Днём
19,Рождения!
20,Всего
21,самого
22,наилучшего!
23,Днём
24,Рождения!
25,Всего
26,самого
27,наилучшего!
28,Рождения!
29,Всего
30,самого
31,наилучшего!
32,Рождения!
33,Всего
34,самого
35,наилучшего!
36,Рождения!
37,Всего
38,самого
39,наилучшего!
40,Рождения!
41,Всего
42,самого
43,наилучшего!
44,Рождения!
45,Всего
46,самого
47,наилучшего!
48,Всего
49,самого
50,наилучшего!
51,Всего
52,самого
53,наилучшего!
54,Всего
55,самого
56,наилучшего!
57,Всего
58,самого
59,наилучшего!
60,Всего
61,самого
62,наилучшего!
63,самого
64,наилучшего!
65,самого
66,наилучшего!
67,самого
68,наилучшего!
69,самого
70,наилучшего!
71,самого
72,наилучшего!
73,наилучшего!
74,наилучшего!
75,наилучшего!
76,наилучшего!
77,наилучшего!
78,наилучшего!
79,наилучшего!
80,наилучшего!
81,наилучшего!
82,наилучшего!
83,наилучшего!
84,наилучшего!
85,наилучшего!
86,наилучшего!
87,наилучшего!
88,наилучшего!
89,наилучшего!
90,наилучшего!
91,наилучшего!
92,наилучшего!
