file	timestamp	NGPSLatitude	NGPSLongitude	NGear	nEngine	rThrottlePedal	pBrakeF	gLat	gLong	sLap	vCar	Lap	lat/lng
1306670579	14:02:50	43.73438	7.42144	1	13449	8	10	0	0	3046	0	1	43.73438,7.42144
1306670581	14:02:54	43.73473	7.42135	1	15156	81	1	0	1	1	95.1	1	43.73473,7.42135
1306670583	14:02:56	43.73536	7.4212	3	14953	37	5	0	0	73	175.6	1	43.73536,7.4212
1306670587	14:03:00	43.73681	7.42149	1	9576	0	13	1	0	228	67.5	1	43.73681,7.42149
1306670589	14:03:02	43.73701	7.42179	1	16341	63	1	0	1	262	75.9	1	43.73701,7.42179
1306670591	14:03:04	43.73707	7.42211	3	16610	100	1	0	1	322	153.1	1	43.73707,7.42211
1306670593	14:03:06	43.73737	7.4239	5	17025	100	1	0	1	440	211.8	1	43.73737,7.4239
1306670595	14:03:08	43.73728	7.42552	6	16034	100	2	1	0	557	228	1	43.73728,7.42552
1306670597	14:03:10	43.73774	7.42693	4	14306	4	14	-1	-1	685	169.3	1	43.73774,7.42693
1306670599	14:03:12	43.73828	7.42782	3	11720	3	10	-2	0	758	126.9	1	43.73828,7.42782
1306670601	14:03:14	43.7388	7.42808	3	10888	12	2	-1	0	819	112.1	1	43.7388,7.42808
1306670603	14:03:16	0	0	2	12483	8	6	1	0	879	107.9	1	0,0
1306670605	14:03:18	0	0	2	14612	58	1	1	1	945	106.8	1	0,0
1306670607	14:03:20	43.74029	7.42788	3	16567	17	22	0	-1	1021	172.1	1	43.74029,7.42788
1306670609	14:03:22	43.74087	7.42847	2	13504	0	22	0	-1	1096	103.6	1	43.74087,7.42847
1306670611	14:03:24	43.74115	7.42888	1	9912	0	2	2	-1	1146	69.4	1	43.74115,7.42888
1306670613	14:03:26	43.74115	7.42908	1	15834	78	1	-1	1	1188	91.7	1	43.74115,7.42908
1306670615	14:03:28	0	0	1	9740	0	24	0	-1	1238	75.9	1	0,0
1306670617	14:03:30	43.74016	7.42967	1	6019	0	3	-1	-1	1266	47.6	1	43.74016,7.42967
1306670619	14:03:32	43.74042	7.42968	1	10843	24	1	-1	1	1291	55.3	1	43.74042,7.42968
1306670621	14:03:34	43.7407	7.42932	1	10730	0	10	1	0	1339	75.7	1	43.7407,7.42932
1306670623	14:03:36	43.74101	7.42946	1	16012	59	1	0	1	1377	78.5	1	43.74101,7.42946
1306670625	14:03:38	43.7411	7.43003	1	10958	0	4	2	0	1424	77.6	1	43.7411,7.43003
1306670627	14:03:40	43.74083	7.43068	1	17862	80	1	0	1	1473	88.9	1	43.74083,7.43068
1306670629	14:03:42	43.74049	7.43075	3	15714	100	1	1	1	1547	166.1	1	43.74049,7.43075
1306670631	14:03:44	43.7405	7.43071	6	16109	100	1	2	0	1657	227.9	1	43.7405,7.43071
1306670633	14:03:46	0	0	6	17278	100	1	1	0	1806	242.3	1	0,0
1306670635	14:03:48	0	0	7	15431	2	50	1	-2	1943	264.6	1	0,0
1306670637	14:03:50	0	0	2	14808	0	32	0	-2	2048	153.4	1	0,0
1306670639	14:03:52	43.73676	7.42557	1	10382	0	4	-1	0	2100	72	1	43.73676,7.42557
1306670641	14:03:54	43.73662	7.42527	1	13167	59	1	0	1	2126	60.3	1	43.73662,7.42527
1306670643	14:03:56	43.73704	7.42435	3	16299	100	1	0	1	2199	145.4	1	43.73704,7.42435
1306670645	14:03:58	43.7369	7.423	4	14160	0	39	0	-1	2299	208.4	1	43.7369,7.423
1306670647	14:04:00	43.73667	7.42209	3	13502	39	1	-2	0	2382	135.5	1	43.73667,7.42209
1306670649	14:04:02	43.73591	7.42168	4	14856	20	6	-2	0	2481	183.9	1	43.73591,7.42168
1306670651	14:04:04	43.73512	7.42211	4	15257	67	1	2	0	2573	179.7	1	43.73512,7.42211
1306670653	14:04:06	43.73431	7.42242	2	12602	0	22	1	-1	2675	124	1	43.73431,7.42242
1306670655	14:04:08	43.73388	7.42224	1	12633	18	1	-2	0	2723	83.3	1	43.73388,7.42224
1306670657	14:04:10	43.73337	7.42237	2	15176	100	1	-1	1	2778	133.1	1	43.73337,7.42237
1306670659	14:04:12	43.73285	7.42301	2	15955	0	25	-1	-1	2857	125.5	1	43.73285,7.42301
1306670661	14:04:14	43.73259	7.42351	1	9271	0	4	2	-1	2910	67.8	1	43.73259,7.42351
1306670663	14:04:16	43.73241	7.42329	1	16328	79	1	0	1	2945	79.7	1	43.73241,7.42329
1306670665	14:04:18	43.73236	7.42261	1	11649	0	1	2	0	2993	79	1	43.73236,7.42261
1306670667	14:04:20	43.73276	7.42229	2	17928	100	1	-1	1	3042	120	1	43.73276,7.42229
1306670671	14:04:24	43.73439	7.42128	6	17198	100	1	1	1	3249	243.2	1	43.73439,7.42128
1306670673	14:04:26	43.73478	7.42114	7	14343	0	44	0	-2	132	246.9	2	43.73478,7.42114
1306670677	14:04:30	43.73707	7.42198	2	17253	100	1	0	1	284	117.5	2	43.73707,7.42198
1306670679	14:04:32	43.73715	7.4231	3	17564	100	1	0	1	372	191.9	2	43.73715,7.4231
1306670681	14:04:34	43.73736	7.42463	6	16771	100	1	-1	0	489	235.7	2	43.73736,7.42463
1306670683	14:04:36	43.73753	7.42636	6	15902	2	36	0	-2	647	258.6	2	43.73753,7.42636
1306670685	14:04:38	43.73785	7.42746	3	14042	0	14	-2	-1	731	164.8	2	43.73785,7.42746
1306670687	14:04:40	43.73866	7.42786	3	13490	51	1	-2	0	819	129.6	2	43.73866,7.42786
1306670689	14:04:42	43.73928	7.42737	2	14103	0	3	2	0	891	126.5	2	43.73928,7.42737
1306670691	14:04:44	43.73933	7.42733	2	15772	88	1	1	1	968	129.3	2	43.73933,7.42733
1306670693	14:04:46	0	0	4	13877	1	40	0	-2	1060	193.9	2	0,0
1306670695	14:04:48	0	0	1	13914	0	23	1	-1	1115	96.1	2	0,0
1306670697	14:04:50	43.7411	7.42905	1	13731	47	1	1	1	1165	70.1	2	43.7411,7.42905
1306670699	14:04:52	0	0	2	15443	0	30	0	-1	1219	125.1	2	0,0
1306670701	14:04:54	43.74028	7.42965	1	6617	0	3	-1	-1	1267	51.9	2	43.74028,7.42965
1306670703	14:04:56	43.74046	7.42967	1	11499	53	1	-1	1	1292	53.8	2	43.74046,7.42967
1306670705	14:04:58	43.74068	7.42933	1	11674	0	5	2	0	1335	83.4	2	43.74068,7.42933
1306670707	14:05:00	43.74097	7.42959	1	16898	90	1	1	1	1377	90.6	2	43.74097,7.42959
1306670709	14:05:02	43.74107	7.43033	1	14137	3	1	2	0	1436	78.3	2	43.74107,7.43033
1306670711	14:05:04	43.74094	7.43057	2	16604	91	1	1	1	1472	110.2	2	43.74094,7.43057
1306670713	14:05:06	0	0	4	17696	100	1	0	1	1572	194.2	2	0,0
